Book,Chapter,Verse,Ref,Arabic,Indonesian,KitabSuci,Notes
Mazmur,1,1,Mazmur 1:1,طُوبَى لِلرَّجُلِ ٱلَّذِي لَمْ يَسْلُكْ فِي مَشُورَةِ ٱلْأَشْرَارِ، وَفِي طَرِيقِ ٱلْخُطَاةِ لَمْ يَقِفْ، وَفِي مَجْلِسِ ٱلْمُسْتَهْزِئِينَ لَمْ يَجْلِسْ.,"Diberkatilah orang yang tidak berjalan menurut nasihat orang fasik, tidak berdiri di jalan orang-orang berdosa, dan tidak duduk di pertemuan para pencemooh.","Berbahagialah orang yang tidak berjalan menurut nasihat orang fasik, yang tidak berdiri di jalan orang berdosa, dan yang tidak duduk di tempat para pencemooh,",
Mazmur,1,2,Mazmur 1:2,لَكِنْ فِي نَامُوسِ ٱلرَّبِّ مَسَرَّتُهُ، وَفِي نَامُوسِهِ يَلْهَجُ نَهَارًا وَلَيْلًا.,"Akan tetapi, yang kesenangannya ada dalam hukum TUHAN, dan dia merenungkan hukum-Nya siang dan malam.",melainkan yang kesukaannya hukum ALLAH dan yang merenungkan hukum-Nya siang dan malam.,
Mazmur,1,3,Mazmur 1:3,فَيَكُونُ كَشَجَرَةٍ مَغْرُوسَةٍ عِنْدَ مَجَارِي ٱلْمِيَاهِ، ٱلَّتِي تُعْطِي ثَمَرَهَا فِي أَوَانِهِ، وَوَرَقُهَا لَا يَذْبُلُ. وَكُلُّ مَا يَصْنَعُهُ يَنْجَحُ.,"Dia seperti sebuah pohon yang ditanam di dekat aliran-aliran air, yang menghasilkan buahnya pada musimnya, dan daun-daunnya tidak layu. Segala sesuatu yang dilakukannya berhasil.","Ia seperti pohon yang tertanam di tepi aliran air, yang menghasilkan buahnya pada musimnya, dan yang daunnya tidak layu. Segala sesuatu yang dilakukannya berhasil.",
Mazmur,1,4,Mazmur 1:4,لَيْسَ كَذَلِكَ ٱلْأَشْرَارُ، لَكِنَّهُمْ كَٱلْعُصَافَةِ ٱلَّتِي تُذَرِّيهَا ٱلرِّيحُ.,Tidak demikian dengan orang fasik; mereka seperti sekam yang diterbangkan angin.,Tidak demikian orang fasik. Mereka seperti sekam yang diterbangkan angin.,
Mazmur,1,5,Mazmur 1:5,لِذَلِكَ لَا تَقُومُ ٱلْأَشْرَارُ فِي ٱلدِّينِ، وَلَا ٱلْخُطَاةُ فِي جَمَاعَةِ ٱلْأَبْرَارِ.,"Oleh karena itu, orang fasik takkan bertahan dalam penghakiman, begitu juga orang-orang berdosa dalam kumpulan orang benar.","Sebab itu, orang fasik tidak akan tahan dalam pengadilan, demikian pula orang berdosa dalam kumpulan orang benar.",
Mazmur,1,6,Mazmur 1:6,لِأَنَّ ٱلرَّبَّ يَعْلَمُ طَرِيقَ ٱلْأَبْرَارِ، أَمَّا طَرِيقُ ٱلْأَشْرَارِ فَتَهْلِكُ.,"Sebab, TUHAN mengenal jalan orang benar, tetapi jalan orang fasik akan binasa.","ALLAH mengenal jalan orang benar, tetapi jalan orang fasik akan binasa.",
Mazmur,2,1,Mazmur 2:1,لِمَاذَا ٱرْتَجَّتِ ٱلْأُمَمُ، وَتَفَكَّرَ ٱلشُّعُوبُ فِي ٱلْبَاطِلِ؟,"Mengapa bangsa-bangsa kacau, dan rakyat merancangkan hal yang sia-sia?","Apa sebabnya bangsa-bangsa gempar, dan suku-suku bangsa merencanakan hal yang sia-sia?",
Mazmur,2,2,Mazmur 2:2,قَامَ مُلُوكُ ٱلْأَرْضِ، وَتَآمَرَ ٱلرُّؤَسَاءُ مَعًا عَلَى ٱلرَّبِّ وَعَلَى مَسِيحِهِ، قَائِلِينَ:,"Raja-raja dunia mengambil posisi mereka, pemerintah-pemerintah bersama-sama bermufakat untuk melawan TUHAN dan yang telah diurapi-Nya, dengan berkata,","Raja-raja dunia ini bersiap diri, dan penguasa-penguasa bermufakat bersama-sama hendak melawan ALLAH serta raja yang dilantik-Nya. Kata mereka,",
Mazmur,2,3,Mazmur 2:3,«لِنَقْطَعْ قُيُودَهُمَا، وَلْنَطْرَحْ عَنَّا رُبُطَهُمَا».,"“Ayo kita putuskan belenggu-belenggu mereka, dan membuang tali-tali mereka dari kita!”",“Mari kita putuskan ikatan-ikatan mereka dan membuang tali-tali mereka dari kita!”,
Mazmur,2,4,Mazmur 2:4,اَلسَّاكِنُ فِي ٱلسَّمَاوَاتِ يَضْحَكُ. ٱلرَّبُّ يَسْتَهْزِئُ بِهِمْ.,"Dia, yang duduk di surga, akan tertawa; Tuhan akan mengolok-olok mereka.","Dia yang bertakhta di surga tertawa, Tuhan mengolok-olok mereka.",
Mazmur,2,5,Mazmur 2:5,حِينَئِذٍ يَتَكَلَّمُ عَلَيْهِمْ بِغَضَبِهِ، وَيَرْجُفُهُمْ بِغَيْظِهِ.,"Kemudian, Dia akan berbicara kepada mereka dalam kemarahan-Nya, dan mengejutkan mereka dalam murka-Nya, kata-Nya,","Pada waktu itu Ia akan berfirman kepada mereka dalam murka-Nya dan menggentarkan mereka dalam nyala amarah-Nya,",
Mazmur,2,6,Mazmur 2:6,«أَمَّا أَنَا فَقَدْ مَسَحْتُ مَلِكِي عَلَى صِهْيَوْنَ جَبَلِ قُدْسِي».,"“Aku telah mengurapi raja-Ku di Sion, gunung-Ku yang kudus.”","“Aku sudah melantik raja-Ku di Sion, gunung-Ku yang suci itu.”",
Mazmur,2,7,Mazmur 2:7,إِنِّي أُخْبِرُ مِنْ جِهَةِ قَضَاءِ ٱلرَّبِّ: قَالَ لِي: «أَنْتَ ٱبْنِي، أَنَا ٱلْيَوْمَ وَلَدْتُكَ.,"Aku hendak memberitahukan ketetapan TUHAN: Dia berkata kepadaku, “Engkau adalah Anak-Ku. Hari ini, Aku telah memperanakkan Engkau.","Aku hendak mengumumkan ketetapan ALLAH. Ia telah berfirman kepadaku, “Engkaulah anak-Ku, pada hari ini Aku menjadikan engkau anak-Ku.",
Mazmur,2,8,Mazmur 2:8,ٱسْأَلْنِي فَأُعْطِيَكَ ٱلْأُمَمَ مِيرَاثًا لَكَ، وَأَقَاصِيَ ٱلْأَرْضِ مُلْكًا لَكَ.,"Mintalah kepada-Ku, dan Aku akan memberikan bangsa-bangsa kepadamu sebagai warisanmu, dan ujung-ujung bumi menjadi milik pusakamu.",Mintalah kepada-Ku maka Aku akan memberikan bangsa-bangsa menjadi milik pusakamu dan ujung-ujung bumi menjadi kepunyaanmu.,
Mazmur,2,9,Mazmur 2:9,تُحَطِّمُهُمْ بِقَضِيبٍ مِنْ حَدِيدٍ. مِثْلَ إِنَاءِ خَزَّافٍ تُكَسِّرُهُمْ».,Engkau akan menghancurkan mereka dengan tongkat besi. Engkau akan meremukkan mereka seperti bejana tukang periuk!”,Engkau akan menghancurkan mereka dengan tongkat besi dan memecahkan mereka seperti bejana tukang periuk.”,
Mazmur,2,10,Mazmur 2:10,فَٱلْآنَ يَا أَيُّهَا ٱلْمُلُوكُ تَعَقَّلُوا. تَأَدَّبُوا يَا قُضَاةَ ٱلْأَرْضِ.,"Sekarang, hai raja-raja, jadilah bijaksana; hai para penguasa dunia, terimalah ajaran.","Oleh sebab itu, hai raja-raja, bertindaklah bijaksana! Terimalah didikan, hai hakim-hakim dunia!",
Mazmur,2,11,Mazmur 2:11,ٱعْبُدُوا ٱلرَّبَّ بِخَوْفٍ، وَٱهْتِفُوا بِرَعْدَةٍ.,Layani TUHAN dengan takut dan bersukacitalah dengan gentar.,"Beribadahlah kepada ALLAH dalam ketakwaan, dan dalam kegentaran.",
Mazmur,2,12,Mazmur 2:12,قَبِّلُوا ٱلِٱبْنَ لِئَلَّا يَغْضَبَ فَتَبِيدُوا مِنَ ٱلطَّرِيقِ. لِأَنَّهُ عَنْ قَلِيلٍ يَتَّقِدُ غَضَبُهُ. طُوبَى لِجَمِيعِ ٱلْمُتَّكِلِينَ عَلَيْهِ.,"Ciumlah Anak itu, atau Tuhan akan marah dan kamu akan binasa di jalan. Sebab, kemarahan-Nya cepat menyala. Diberkatilah semua orang yang mencari perlindungan dalam Dia.",Sembahlah Dia dengan tulus supaya jangan Ia murka dan kamu binasa di jalan karena murka-Nya dapat cepat sekali menyala. Berbahagialah semua yang berlindung pada-Nya.,
Mazmur,3,1,Mazmur 3:1,يَارَبُّ، مَا أَكْثَرَ مُضَايِقِيَّ! كَثِيرُونَ قَائِمُونَ عَلَيَّ.,"Nyanyian Daud yang ditulis ketika dia melarikan diri dari Absalom, anaknya. (3-2) O TUHAN, betapa banyaknya musuhku; banyak orang yang bangkit melawan aku.","Syair Daud ketika ia lari dari Absalom, anaknya. (3-2) Ya ALLAH, betapa banyaknya lawanku! Banyak yang bangkit melawan aku!",
Mazmur,3,2,Mazmur 3:2,كَثِيرُونَ يَقُولُونَ لِنَفْسِي: «لَيْسَ لَهُ خَلَاصٌ بِإِلَهِهِ». سِلَاهْ.,"(3-3) Banyak yang berkata kepada diriku, “Tidak ada pertolongan dalam Allah untuknya!” Sela","(3-3) Banyak yang berkata mengenai aku, “Tak ada pertolongan baginya di dalam Allah.” S e l a",
