Book,Chapter,Verse,Ref,Arabic,Indonesian,KitabSuci,Notes
Imamat,1,1,Imamat 1:1,وَدَعَا ٱلرَّبُّ مُوسَى وَكَلَّمَهُ مِنْ خَيْمَةِ ٱلِٱجْتِمَاعِ قَائِلًا:,"TUHAN memanggil Musa dan berbicara kepadanya dari dalam tenda pertemuan, Dia berfirman,","ALLAH memanggil Musa, lalu berfirman kepadanya dari dalam Kemah Hadirat Allah demikian,",
Imamat,1,2,Imamat 1:2,«كَلِّمْ بَنِي إِسْرَائِيلَ وَقُلْ لَهُمْ: إِذَا قَرَّبَ إِنْسَانٌ مِنْكُمْ قُرْبَانًا لِلرَّبِّ مِنَ ٱلْبَهَائِمِ، فَمِنَ ٱلْبَقَرِ وَٱلْغَنَمِ تُقَرِّبُونَ قَرَابِينَكُمْ.,"“Berbicaralah kepada keturunan Israel dan katakanlah kepada mereka, ‘Apabila seseorang di antara kamu membawa persembahan kepada TUHAN, kamu harus mempersembahkan ternak, baik itu dari kawanan sapi atau kawanan domba.’","“Berbicaralah kepada bani Israil dan katakanlah kepada mereka, ‘Jika seorang dari antara kamu hendak mempersembahkan sesuatu kepada ALLAH, maka persembahkanlah ternak, baik dari kawanan sapi atau dari kawanan kambing domba.",
Imamat,1,3,Imamat 1:3,إِنْ كَانَ قُرْبَانُهُ مُحْرَقَةً مِنَ ٱلْبَقَرِ، فَذَكَرًا صَحِيحًا يُقَرِّبُهُ. إِلَى بَابِ خَيْمَةِ ٱلِٱجْتِمَاعِ يُقَدِّمُهُ لِلرِّضَا عَنْهُ أَمَامَ ٱلرَّبِّ.,"‘Jika persembahannya adalah persembahan bakaran dari kawanan sapi, dia harus mempersembahkan seekor jantan yang tidak bercacat. Dia harus membawanya ke pintu tenda pertemuan agar TUHAN berkenan kepadanya.","Jika persembahannya berupa kurban bakaran dari sapi, maka sapi itu haruslah seekor jantan yang tak bercacat. Ia harus mempersembahkannya di pintu Kemah Hadirat Allah supaya ALLAH berkenan menerimanya di hadirat-Nya.",
Imamat,1,4,Imamat 1:4,وَيَضَعُ يَدَهُ عَلَى رَأْسِ ٱلْمُحْرَقَةِ، فَيُرْضَى عَلَيْهِ لِلتَّكْفِيرِ عَنْهُ.,Dia harus meletakkan tangannya di atas kepala persembahan bakaran itu dan hal itu akan diterima baginya sebagai pendamaian untuknya.’,"Kemudian, ia harus meletakkan tangannya di atas kepala kurban bakaran itu maka persembahan itu akan diterima demi pendamaian dirinya dengan Allah.",
Imamat,1,5,Imamat 1:5,وَيَذْبَحُ ٱلْعِجْلَ أَمَامَ ٱلرَّبِّ، وَيُقَرِّبُ بَنوُ هَارُونَ ٱلْكَهَنَةُ ٱلدَّمَ، وَيَرُشُّونَ ٱلدَّمَ مُسْتَدِيرًا عَلَى ٱلْمَذْبَحِ ٱلَّذِي لَدَى بَابِ خَيْمَةِ ٱلِٱجْتِمَاعِ.,"‘Dia harus menyembelih sapi muda itu di hadapan TUHAN, lalu anak-anak Harun, yaitu para imam, harus mempersembahkan darahnya dan memercikkan darah itu di sekeliling mazbah yang ada di depan pintu tenda pertemuan.","Selanjutnya, ia harus menyembelih sapi muda itu di hadirat ALLAH, kemudian anak-anak Harun, yaitu para imam, harus mempersembahkan darah sapi muda itu dan memercikkannya ke sekeliling mazbah, atau tempat pembakaran kurban, di depan pintu Kemah Hadirat Allah.",
Imamat,1,6,Imamat 1:6,وَيَسْلُخُ ٱلْمُحْرَقَةَ وَيُقَطِّعُهَا إِلَى قِطَعِهَا.,Dia harus menguliti persembahan bakaran itu dan memotong-motongnya menjadi beberapa bagian.,Ia pun harus menguliti kurban bakaran itu dan memotongnya menjadi beberapa potongan.,
Imamat,1,7,Imamat 1:7,وَيَجْعَلُ بَنُو هَارُونَ ٱلْكَاهِنِ نَارًا عَلَى ٱلْمَذْبَحِ، وَيُرَتِّبُونَ حَطَبًا عَلَى ٱلنَّارِ.,Anak-anak Imam Harun akan menyalakan api di atas mazbah dan menyusun kayu di atas api itu.,"Sementara itu, anak-anak Imam Harun harus menyalakan api di atas mazbah dan mengatur kayu di atas api itu.",
Imamat,1,8,Imamat 1:8,وَيُرَتِّبُ بَنُو هَارُونَ ٱلْكَهَنَةُ ٱلْقِطَعَ مَعَ ٱلرَّأْسِ وَٱلشَّحْمِ فَوْقَ ٱلْحَطَبِ ٱلَّذِي عَلَى ٱلنَّارِ ٱلَّتِي عَلَى ٱلْمَذْبَحِ.,"Anak-anak Imam Harun harus menata potongan-potongan itu, yaitu kepalanya dan lemaknya di atas kayu yang terbakar di atas mazbah.","Lalu, mereka, para imam itu, harus mengatur potongan-potongan kurban beserta kepala dan lemaknya di atas kayu yang terbakar api pada mazbah.",
Imamat,1,9,Imamat 1:9,وَأَمَّا أَحْشَاؤُهُ وَأَكَارِعُهُ فَيَغْسِلُهَا بِمَاءٍ، وَيُوقِدُ ٱلْكَاهِنُ ٱلْجَمِيعَ عَلَى ٱلْمَذْبَحِ مُحْرَقَةً، وَقُودَ رَائِحَةِ سَرُورٍ لِلرَّبِّ.,"Namun, isi perut dan kaki persembahan bakaran itu harus dia cuci dengan air. Kemudian, imam yang akan membakar seluruhnya di atas mazbah. Itulah persembahan bakaran, suatu persembahan dengan api, bau harum yang menyenangkan bagi TUHAN.’","Isi perut dan kakinya harus dibasuhnya dengan air, lalu semua itu harus dibakar oleh imam di mazbah sebagai kurban bakaran, yaitu kurban yang dibakar, yang harum aromanya di hadirat ALLAH.",
Imamat,1,10,Imamat 1:10,«وَإِنْ كَانَ قُرْبَانُهُ مِنَ ٱلْغَنَمِ ٱلضَّأْنِ أَوِ ٱلْمَعْزِ مُحْرَقَةً، فَذَكَرًا صَحِيحًا يُقَرِّبُهُ.,"‘Jika persembahannya adalah dari kawanan domba atau kambing, dia harus mempersembahkan seekor jantan yang tidak bercacat sebagai persembahan bakaran.","Jika persembahannya berupa kurban bakaran dari kawanan kambing domba, maka kambing atau domba itu haruslah seekor jantan yang tak bercacat.",
