Book,Chapter,Verse,Ref,Arabic,Indonesian,KitabSuci,Notes
Ulangan,1,1,Ulangan 1:1,هَذَا هُوَ ٱلْكَلَامُ ٱلَّذِي كَلَّمَ بِهِ مُوسَى جَمِيعَ إِسْرَائِيلَ فِي عَبْرِ ٱلْأُرْدُنِّ، فِي ٱلْبَرِّيَّةِ فِي ٱلْعَرَبَةِ، قُبَالَةَ سُوفَ، بَيْنَ فَارَانَ وَتُوفَلَ وَلَابَانَ وَحَضَيْرُوتَ وَذِي ذَهَبٍ.,"Inilah firman yang disampaikan Musa kepada umat Israel di Sungai Yordan, di padang belantara sebelah Sungai Yordan, yaitu di seberang Suf, di antara padang belantara, di antara Paran dan Tofel, Laban, Hazerot dan Di-Zahab.","Inilah perkataan-perkataan yang disampaikan Musa kepada semua orang Israil di padang belantara seberang Sungai Yordan, yaitu di Araba. Araba terletak di seberang Suf, di antara Paran dan Tofel, Laban, Hazerot, serta Di-Zahab.",
Ulangan,1,2,Ulangan 1:2,أَحَدَ عَشَرَ يَوْمًا مِنْ حُورِيبَ عَلَى طَرِيقِ جَبَلِ سِعِيرَ إِلَى قَادَشَ بَرْنِيعَ.,Perjalanan dari Gunung Horeb melewati Pegunungan Seir ke Kadesh-Barnea membutuhkan waktu sebelas hari.,Sebelas hari perjalanan jauhnya jarak dari Horeb sampai ke Kades-Barnea melalui jalan Pegunungan Seir.,
Ulangan,1,3,Ulangan 1:3,فَفِي ٱلسَّنَةِ ٱلْأَرْبَعِينَ، فِي ٱلشَّهْرِ ٱلْحَادِي عَشَرَ فِي ٱلْأَوَّلِ مِنَ ٱلشَّهْرِ، كَلَّمَ مُوسَى بَنِي إِسْرَائِيلَ حَسَبَ كُلِّ مَا أَوْصَاهُ ٱلرَّبُّ إِلَيْهِمْ.,"Pada hari pertama bulan kesebelas, tahun keempat puluh, Musa berbicara kepada keturunan Israel dan mengatakan kepada mereka segala sesuatu yang telah TUHAN perintahkan kepadanya.","Pada hari pertama di bulan kesebelas tahun keempat puluh, Musa mengatakan kepada bani Israil semua yang diperintahkan ALLAH untuk disampaikan kepada mereka.",
Ulangan,1,4,Ulangan 1:4,بَعْدَ مَا ضَرَبَ سِيحُونَ مَلِكَ ٱلْأَمُورِيِّينَ ٱلسَّاكِنَ فِي حَشْبُونَ، وَعُوجَ مَلِكَ بَاشَانَ ٱلسَّاكِنَ فِي عَشْتَارُوثَ فِي إِذْرَعِي.,"Hal itu terjadi sesudah dia mengalahkan Sihon, raja orang Amori, yang tinggal di Hesybon, dan Og, raja Basan, yang tinggal di Asytarot, Edrei.","Saat itu ia baru saja mengalahkan Sihon, raja orang Amori, yang tinggal di Hesbon, dan Og, raja Basan, yang tinggal di Astarot dekat Edrei.",
Ulangan,1,5,Ulangan 1:5,فِي عَبْرِ ٱلْأُرْدُنِّ، فِي أَرْضِ مُوآبَ، ٱبْتَدَأَ مُوسَى يَشْرَحُ هَذِهِ ٱلشَّرِيعَةَ قَائِلًا:,"Musa mulai menjelaskan Taurat kepada umat Israel di dataran Moab, sebelah Sungai Yordan. Katanya,","Di seberang Sungai Yordan, di Tanah Moab, Musa mulai menjelaskan hukum Taurat ini. Katanya,",
Ulangan,1,6,Ulangan 1:6,«اَلرَّبُّ إِلَهُنَا كَلَّمَنَا فِي حُورِيبَ قَائِلًا: كَفَاكُمْ قُعُودٌ فِي هَذَا ٱلْجَبَلِ،,"“TUHAN, Allah kita, telah berbicara kepada kita di Gunung Horeb. Firman-Nya, ‘Kamu sudah cukup lama tinggal di gunung ini.","“ALLAH, Tuhan kita, berfirman kepada kita di Horeb, demikian, ‘Sudah cukup lama kamu tinggal di gunung ini.",
Ulangan,1,7,Ulangan 1:7,تَحَوَّلُوا وَٱرْتَحِلُوا وَٱدْخُلُوا جَبَلَ ٱلْأَمُورِيِّينَ وَكُلَّ مَا يَلِيهِ مِنَ ٱلْعَرَبَةِ وَٱلْجَبَلِ وَٱلسَّهْلِ وَٱلْجَنُوبِ وَسَاحِلِ ٱلْبَحْرِ، أَرْضَ ٱلْكَنْعَانِيِّ وَلُبْنَانَ إِلَى ٱلنَّهْرِ ٱلْكَبِيرِ، نَهْرِ ٱلْفُرَاتِ.,"Pergilah ke negeri perbukitan tempat tinggal orang Amori dan ke semua negeri tetangganya, daerah perbukitan, lereng sebelah barat, wilayah selatan, dan daerah pantai. Pergilah melewati tanah Kanaan dan Lebanon sejauh Efrat, sungai besar itu.","Berbeloklah dan berangkatlah. Pergilah ke pegunungan orang Amori dan ke semua bangsa tetangga mereka di Araba, daerah pegunungan, daerah dataran rendah, Tanah Negeb, daerah tepi laut negeri orang Kanaan dan Libanon, sampai ke sungai besar, yaitu Sungai Efrat.",
Ulangan,1,8,Ulangan 1:8,اُنْظُرْ. قَدْ جَعَلْتُ أَمَامَكُمُ ٱلْأَرْضَ. ٱدْخُلُوا وَتَمَلَّكُوا ٱلْأَرْضَ ٱلَّتِي أَقْسَمَ ٱلرَّبُّ لِآبَائِكُمْ إِبْرَاهِيمَ وَإِسْحَاقَ وَيَعْقُوبَ أَنْ يُعْطِيَهَا لَهُمْ وَلِنَسْلِهِمْ مِنْ بَعْدِهِمْ.,"Lihatlah, Aku memberikan negeri ini kepadamu. Pergilah dan milikilah itu. Inilah tanah yang telah Aku, TUHAN, janjikan untuk diberikan kepada nenek moyangmu — Abraham, Ishak, dan Yakub. Aku berjanji untuk memberikan negeri itu kepada mereka dan keturunan mereka.’”","Ketahuilah, Aku telah menyerahkan negeri itu kepadamu. Masukilah dan dudukilah! Dengan bersumpah ALLAH telah berjanji kepada nenek moyangmu, yaitu Ibrahim, Ishak, dan Yakub bahwa Ia akan mengaruniakan negeri itu kepada mereka dan kepada keturunan mereka.’",
Ulangan,1,9,Ulangan 1:9,«وَكَلَّمْتُكُمْ فِي ذَلِكَ ٱلْوَقْتِ قَائِلًا: لَا أَقْدِرُ وَحْدِي أَنْ أَحْمِلَكُمْ.,"“Aku telah mengatakan kepadamu, ‘aku tidak mampu menanggung beban kamu.’","Pada waktu itu aku berkata kepadamu, ‘Aku tak sanggup memikul tanggung jawab atas kamu seorang diri.",
Ulangan,1,10,Ulangan 1:10,اَلرَّبُّ إِلَهُكُمْ قَدْ كَثَّرَكُمْ. وَهُوَذَا أَنْتُمُ ٱلْيَوْمَ كَنُجُومِ ٱلسَّمَاءِ فِي ٱلْكَثْرَةِ.,"Sekarang, kalian telah bertambah banyak. TUHAN, Allahmu, telah membuatmu bertambah-tambah, sehingga hari ini kamu sebanyak bintang di langit.","ALLAH, Tuhanmu, telah melipatgandakanmu menjadi sangat banyak, dan sesungguhnya saat ini kamu sudah seperti bintang-bintang di langit banyaknya.",
