Book,Chapter,Verse,Ref,Arabic,Indonesian,KitabSuci,Notes
Matius,1,1,Matius 1:1,كِتَابُ مِيلَادِ يَسُوعَ ٱلْمَسِيحِ ٱبْنِ دَاوُدَ ٱبْنِ إِبْراهِيمَ:,"Kitab silsilah Yesus Kristus, anak Daud, anak Abraham.","Inilah silsilah Isa Al-Masih, anak Daud, anak Ibrahim:",
Matius,1,2,Matius 1:2,إِبْراهِيمُ وَلَدَ إِسْحاقَ. وَإِسْحاقُ وَلَدَ يَعْقُوبَ. وَيَعْقُوبُ وَلَدَ يَهُوذَا وَإِخْوَتَهُ.,"Abraham adalah ayah dari Ishak, Ishak adalah ayah dari Yakub. Yakub adalah ayah dari Yehuda dan saudara-saudaranya.","Ibrahim mempunyai anak, Ishak; Ishak mempunyai anak, Yakub; Yakub mempunyai anak, Yuda dan saudara-saudaranya;",
Matius,1,3,Matius 1:3,وَيَهُوذَا وَلَدَ فَارِصَ وَزَارَحَ مِنْ ثَامَارَ. وَفَارِصُ وَلَدَ حَصْرُونَ. وَحَصْرُونُ وَلَدَ أَرَامَ.,"Yehuda adalah ayah dari Peres dan Zerah, dari Tamar. Peres adalah ayah dari Hezron. Hezron adalah ayah dari Ram.","Yuda mempunyai anak, Peres dan Zerah, dari Tamar; Peres mempunyai anak, Hezron; Hezron mempunyai anak, Ram;",
Matius,1,4,Matius 1:4,وَأَرَامُ وَلَدَ عَمِّينَادَابَ. وَعَمِّينَادَابُ وَلَدَ نَحْشُونَ. وَنَحْشُونُ وَلَدَ سَلْمُونَ.,Ram adalah ayah dari Aminadab. Aminadab adalah ayah dari Nahason. Nahason adalah ayah dari Salmon.,"Ram mempunyai anak, Aminadab; Aminadab mempunyai anak, Nahason; Nahason mempunyai anak, Salmon;",
Matius,1,5,Matius 1:5,وَسَلْمُونُ وَلَدَ بُوعَزَ مِنْ رَاحَابَ. وَبُوعَزُ وَلَدَ عُوبِيدَ مِنْ رَاعُوثَ. وَعُوبِيدُ وَلَدَ يَسَّى.,"Salmon adalah ayah dari Boas, dari Rahab. Boas adalah ayah dari Obed, dari Rut. Obed adalah ayah dari Isai.","Salmon mempunyai anak, Boas, dari Rahab; Boas mempunyai anak, Obed, dari Rut; Obed mempunyai anak, Isai;",
Matius,1,6,Matius 1:6,وَيَسَّى وَلَدَ دَاوُدَ ٱلْمَلِكَ. وَدَاوُدُ ٱلْمَلِكُ وَلَدَ سُلَيْمَانَ مِنَ ٱلَّتِي لِأُورِيَّا.,"Isai adalah ayah dari Raja Daud. Daud adalah ayah dari Salomo, dari bekas istri Uria.","Isai mempunyai anak, Daud; Daud mempunyai anak, Sulaiman, dari janda Uria;",
Matius,1,7,Matius 1:7,وَسُلَيْمَانُ وَلَدَ رَحَبْعَامَ. وَرَحَبْعَامُ وَلَدَ أَبِيَّا. وَأَبِيَّا وَلَدَ آسَا.,Salomo adalah ayah dari Rehabeam. Rehabeam adalah ayah dari Abia. Abia adalah ayah dari Asa.,"Sulaiman mempunyai anak, Rehabeam; Rehabeam mempunyai anak, Abia; Abia mempunyai anak, Asa;",
Matius,1,8,Matius 1:8,وَآسَا وَلَدَ يَهُوشَافَاطَ. وَيَهُوشَافَاطُ وَلَدَ يُورَامَ. وَيُورَامُ وَلَدَ عُزِّيَّا.,Asa adalah ayah dari Yosafat. Yosafat adalah ayah dari Yoram. Yoram adalah ayah dari Uzia.,"Asa mempunyai anak, Yosafat; Yosafat mempunyai anak, Yoram; Yoram mempunyai anak, Uzia;",
Matius,1,9,Matius 1:9,وَعُزِّيَّا وَلَدَ يُوثَامَ. وَيُوثَامُ وَلَدَ أَحَازَ. وَأَحَازُ وَلَدَ حِزْقِيَّا.,Uzia adalah ayah dari Yotam. Yotam adalah ayah dari Ahas. Ahas adalah ayah dari Hizkia.,"Uzia mempunyai anak, Yotam; Yotam mempunyai anak, Ahas; Ahas mempunyai anak, Hizkia;",
Matius,1,10,Matius 1:10,وَحِزْقِيَّا وَلَدَ مَنَسَّى. وَمَنَسَّى وَلَدَ آمُونَ. وَآمُونُ وَلَدَ يُوشِيَّا.,Hizkia adalah ayah dari Manasye. Manasye adalah ayah dari Amon. Amon adalah ayah dari Yosia.,"Hizkia mempunyai anak, Manasye; Manasye mempunyai anak, Amon; Amon mempunyai anak, Yosia;",
