Book,Chapter,Verse,Ref,Arabic,Indonesian,KitabSuci,Notes
Keluaran,1,1,Keluaran 1:1,وَهَذِهِ أَسْمَاءُ بَنِي إِسْرَائِيلَ ٱلَّذِينَ جَاءُوا إِلَى مِصْرَ. مَعَ يَعْقُوبَ جَاءَ كُلُّ إِنْسَانٍ وَبَيْتُهُ:,"Inilah nama anak-anak Israel yang masuk ke Mesir bersama Yakub, masing-masing datang dengan keluarganya:","Inilah nama anak-anak Israil yang datang ke Mesir bersama Yakub, masing-masing dengan keluarganya:",
Keluaran,1,2,Keluaran 1:2,رَأُوبَيْنُ وَشِمْعُونُ وَلَاوِي وَيَهُوذَا,"Ruben, Simeon, Lewi, Yehuda,","Ruben, Simeon, Lewi, Yuda,",
Keluaran,1,3,Keluaran 1:3,وَيَسَّاكَرُ وَزَبُولُونُ وَبَنْيَامِينُ,"Isakhar, Zebulon, Benyamin,","Isakhar, Zebulon, Binyamin,",
Keluaran,1,4,Keluaran 1:4,وَدَانُ وَنَفْتَالِي وَجَادُ وَأَشِيرُ.,"Dan, Naftali, Gad, dan Asyer.","Dan, Naftali, Gad, dan Asyer.",
Keluaran,1,5,Keluaran 1:5,وَكَانَتْ جَمِيعُ نُفُوسِ ٱلْخَارِجِينَ مِنْ صُلْبِ يَعْقُوبَ سَبْعِينَ نَفْسًا. وَلَكِنْ يُوسُفُ كَانَ فِي مِصْرَ.,"Seluruh jiwa yang adalah keturunan langsung dari Yakub berjumlah tujuh puluh, tetapi Yusuf sudah berada di Mesir.","Jumlah semua keturunan Yakub adalah tujuh puluh jiwa, tetapi Yusuf sudah berada di Mesir.",
Keluaran,1,6,Keluaran 1:6,وَمَاتَ يُوسُفُ وَكُلُّ إِخْوَتِهِ وَجَمِيعُ ذَلِكَ ٱلْجِيلِ.,"Lalu, Yusuf mati, begitu pula dengan semua saudaranya, dan semua orang dari generasi itu.","Kemudian, Yusuf meninggal, begitu pula semua saudaranya dan semua orang yang seangkatan dengannya.",
Keluaran,1,7,Keluaran 1:7,وَأَمَّا بَنُو إِسْرَائِيلَ فَأَثْمَرُوا وَتَوَالَدُوا وَنَمَوْا وَكَثُرُوا كَثِيرًا جِدًّا، وَٱمْتَلَأَتِ ٱلْأَرْضُ مِنْهُمْ.,"Akan tetapi, keturunan Israel beranak cucu, dan terus bertambah banyak, dan berlipat ganda, dan menjadi sangat kuat sehingga mereka memenuhi negeri itu.",Bani Israil beranak cucu dan meningkat jumlahnya. Mereka bertambah banyak dan menjadi luar biasa kuatnya sehingga negeri itu mereka penuhi.,
Keluaran,1,8,Keluaran 1:8,ثُمَّ قَامَ مَلِكٌ جَدِيدٌ عَلَى مِصْرَ لَمْ يَكُنْ يَعْرِفُ يُوسُفَ.,"Kemudian, seorang raja baru, yang tidak mengenal Yusuf, muncul di Mesir.","Kemudian, bertakhtalah di Mesir seorang raja baru yang tidak mengenal Yusuf.",
Keluaran,1,9,Keluaran 1:9,فَقَالَ لِشَعْبِهِ: «هُوَذَا بَنُو إِسْرَائِيلَ شَعْبٌ أَكْثَرُ وَأَعْظَمُ مِنَّا.,"Dia berkata kepada rakyatnya, “Lihatlah, orang dari keturunan Israel itu menjadi banyak dan lebih kuat daripada kita.","Ia berkata kepada rakyatnya, “Lihatlah, rakyat bani Israil ini menjadi banyak dan lebih kuat daripada kita.",
Keluaran,1,10,Keluaran 1:10,هَلُمَّ نَحْتَالُ لَهُمْ لِئَلَّا يَنْمُوا، فَيَكُونَ إِذَا حَدَثَتْ حَرْبٌ أَنَّهُمْ يَنْضَمُّونَ إِلَى أَعْدَائِنَا وَيُحَارِبُونَنَا وَيَصْعَدُونَ مِنَ ٱلْأَرْضِ».,"Mari kita bertindak cerdik terhadap mereka. Jangan sampai mereka berlipat ganda sehingga ketika terjadi perang, mereka akan bersekutu dengan musuh-musuh kita untuk mengalahkan kita, lalu pergi dari tanah ini.”","Mari kita cari akal bagaimana menyikapi mereka. Jika tidak, mereka akan bertambah banyak saja, dan jika terjadi perang mereka akan bergabung dengan orang-orang yang membenci kita, lalu berperang melawan kita dan pergi dari negeri ini.”",
Keluaran,1,11,Keluaran 1:11,فَجَعَلُوا عَلَيْهِمْ رُؤَسَاءَ تَسْخِيرٍ لِكَيْ يُذِلُّوهُمْ بِأَثْقَالِهِمْ، فَبَنَوْا لِفِرْعَوْنَ مَدِينَتَيْ مَخَازِنَ: فِيثُومَ، وَرَعَمْسِيسَ.,"Karena itu, mereka menunjuk para mandor untuk menindas keturunan Israel dengan kerja paksa. Mereka membangun kota-kota perbekalan bagi Firaun, yaitu Pitom dan Raamses.","Sebab itu, orang-orang Mesir mengangkat kepala-kepala rodi atas bani Israil untuk menindas mereka dengan kerja paksa. Mereka membangun bagi Firaun kota-kota perbekalan, yaitu Pitom dan Raamses.",
Keluaran,1,12,Keluaran 1:12,وَلَكِنْ بِحَسْبِمَا أَذَلُّوهُمْ هَكَذَا نَمَوْا وَٱمْتَدُّوا. فَٱخْتَشَوْا مِنْ بَنِي إِسْرَائِيلَ.,"Namun, semakin mereka menindasnya, keturunan Israel justru semakin berlipat ganda dan tersebar. Mereka pun takut karena keturunan Israel itu.","Tetapi, makin ditindas, makin bertambah banyak dan berkembanglah mereka sehingga orang Mesir menjadi takut kepada bani Israil.",
Keluaran,1,13,Keluaran 1:13,فَٱسْتَعْبَدَ ٱلْمِصْرِيُّونَ بَنِي إِسْرَائِيلَ بِعُنْفٍ،,"Dengan kekerasan, orang Mesir memaksa keturunan Israel untuk bekerja,","Maka, dengan bengis orang Mesir memaksa bani Israil bekerja,",
Keluaran,1,14,Keluaran 1:14,وَمَرَّرُوا حَيَاتَهُمْ بِعُبُودِيَّةٍ قَاسِيَةٍ فِي ٱلطِّينِ وَٱللِّبْنِ وَفِي كُلِّ عَمَلٍ فِي ٱلْحَقْلِ. كُلِّ عَمَلِهِمِ ٱلَّذِي عَمِلُوهُ بِوَاسِطَتِهِمْ عُنْفًا.,"dan membuat hidup mereka pahit dengan perbudakan yang berat, yaitu mengolah tanah liat, dan batu bata, dan segala jenis pekerjaan di ladang. Segala pekerjaan mereka, yang dipaksakan kepada mereka untuk dilakukan, disertai dengan kekerasan.","dan membuat getir hidup mereka dalam perhambaan yang berat. Mereka harus mengerjakan tanah liat dan batu bata serta semua pekerjaan di padang, yaitu semua pekerjaan yang dengan bengis dipaksakan kepada mereka.",
Keluaran,1,15,Keluaran 1:15,وَكَلَّمَ مَلِكُ مِصْرَ قَابِلَتَيِ ٱلْعِبْرَانِيَّاتِ ٱللَّتَيْنِ ٱسْمُ إِحْدَاهُمَا شِفْرَةُ وَٱسْمُ ٱلْأُخْرَى فُوعَةُ،,"Setelah itu, Raja Mesir berkata kepada para bidan yang membantu kelahiran orang Ibrani, yang satu bernama Sifra dan yang lain bernama Pua,","Selain itu, raja Mesir juga berbicara kepada bidan-bidan orang Ibrani, yang seorang bernama Sifra dan yang lain bernama Pua,",
Keluaran,1,16,Keluaran 1:16,وَقَالَ: «حِينَمَا تُوَلِّدَانِ ٱلْعِبْرَانِيَّاتِ وَتَنْظُرَانِهِنَّ عَلَى ٱلْكَرَاسِيِّ، إِنْ كَانَ ٱبْنًا فَٱقْتُلَاهُ، وَإِنْ كَانَ بِنْتًا فَتَحْيَا».,"katanya, “Ketika kamu menolong perempuan Ibrani untuk melahirkan dari tempat mereka melahirkan, jika itu bayi laki-laki, kamu harus membunuhnya. Akan tetapi, jika itu bayi perempuan, biarkan dia hidup.”","katanya, “Ketika kamu membidani perempuan Ibrani, awasilah mereka di tempat persalinan. Jika anak yang mereka lahirkan laki-laki, maka kamu harus membunuh anak itu, tetapi jika anak itu perempuan, biarkan anak itu hidup.”",
Keluaran,1,17,Keluaran 1:17,وَلَكِنَّ ٱلْقَابِلَتَيْنِ خَافَتَا ٱللهَ وَلَمْ تَفْعَلَا كَمَا كَلَّمَهُمَا مَلِكُ مِصْرَ، بَلِ ٱسْتَحْيَتَا ٱلْأَوْلَادَ.,"Namun, bidan-bidan itu takut akan Allah sehingga mereka tidak melakukan seperti yang diperintahkan raja kepada mereka, melainkan membiarkan bayi laki-laki tetap hidup.","Namun, karena bidan-bidan itu bertakwa kepada Allah, mereka tidak bertindak sesuai dengan apa yang dikatakan raja Mesir kepada mereka. Mereka membiarkan hidup anak-anak laki-laki yang lahir.",
Keluaran,1,18,Keluaran 1:18,فَدَعَا مَلِكُ مِصْرَ ٱلْقَابِلَتَيْنِ وَقَالَ لَهُمَا: «لِمَاذَا فَعَلْتُمَا هَذَا ٱلْأَمْرَ وَٱسْتَحْيَيْتُمَا ٱلْأَوْلَادَ؟»,"Oleh sebab itu, Raja Mesir memanggil para bidan itu dan berkata kepada mereka, “Mengapa kalian melakukan hal ini dan membiarkan bayi laki-laki tetap hidup?”","Lalu, raja Mesir memanggil bidan-bidan itu dan bertanya kepada mereka, “Mengapa kamu melakukan hal ini, membiarkan hidup bayi-bayi laki-laki?”",
Keluaran,1,19,Keluaran 1:19,فَقَالَتِ ٱلْقَابِلَتَانِ لِفِرْعَوْنَ: «إِنَّ ٱلنِّسَاءَ ٱلْعِبْرَانِيَّاتِ لَسْنَ كَٱلْمِصْرِيَّاتِ، فَإِنَّهُنَّ قَوِيَّاتٌ يَلِدْنَ قَبْلَ أَنْ تَأْتِيَهُنَّ ٱلْقَابِلَةُ».,"Bidan-bidan itu berkata kepada Firaun, “Perempuan-perempuan Ibrani itu tidak seperti perempuan Mesir karena mereka bertenaga dan sudah melahirkan sebelum bidan sampai kepada mereka.”","Jawab bidan-bidan itu kepada Firaun, “Karena perempuan Ibrani tidak seperti perempuan Mesir. Mereka lebih kuat. Sebelum bidan datang, mereka sudah melahirkan.”",
Keluaran,1,20,Keluaran 1:20,فَأَحْسَنَ ٱللهُ إِلَى ٱلْقَابِلَتَيْنِ، وَنَمَا ٱلشَّعْبُ وَكَثُرَ جِدًّا.,"Karena itu, Allah berlaku baik terhadap kedua bidan itu. Bangsa itu berlipat ganda dan menjadi sangat kuat.","Maka, Allah berbuat baik terhadap bidan-bidan itu, dan bangsa itu bertambah banyak dan menjadi sangat kuat.",
Keluaran,1,21,Keluaran 1:21,وَكَانَ إِذْ خَافَتِ ٱلْقَابِلَتَانِ ٱللهَ أَنَّهُ صَنَعَ لَهُمَا بُيُوتًا.,"Karena bidan-bidan itu takut akan Allah, Dia membangun rumah tangga untuk mereka.","Selain itu, karena bidan-bidan itu bertakwa kepada Allah, Ia membangun rumah tangga mereka.",
Keluaran,1,22,Keluaran 1:22,ثُمَّ أَمَرَ فِرْعَوْنُ جَمِيعَ شَعْبِهِ قَائِلًا: «كُلُّ ٱبْنٍ يُولَدُ تَطْرَحُونَهُ فِي ٱلنَّهْرِ، لَكِنَّ كُلَّ بِنْتٍ تَسْتَحْيُونَهَا».,"Lalu, Firaun memberikan perintah kepada seluruh rakyatnya, “Setiap bayi laki-laki yang dilahirkan harus kamu lempar ke sungai, tetapi kamu boleh membiarkan setiap bayi perempuan tetap hidup.”","Lalu, Firaun memberi perintah kepada seluruh rakyatnya demikian, “Semua anak laki-laki yang lahir bagi orang Ibrani harus kamu buang ke Sungai Nil, tetapi semua anak perempuan boleh kamu biarkan hidup.”",
Keluaran,2,1,Keluaran 2:1,وَذَهَبَ رَجُلٌ مِنْ بَيْتِ لَاوِي وَأَخَذَ بِنْتَ لَاوِي،,Ada seorang laki-laki dari suku Lewi yang memperistri seorang perempuan keturunan Lewi.,Ada seorang laki-laki dari kaum keturunan Lewi yang memperistri seorang perempuan suku Lewi.,
Keluaran,2,2,Keluaran 2:2,فَحَبِلَتِ ٱلْمَرْأَةُ وَوَلَدَتِ ٱبْنًا. وَلَمَّا رَأَتْهُ أَنَّهُ حَسَنٌ، خَبَّأَتْهُ ثَلَاثَةَ أَشْهُرٍ.,"Perempuan itu mengandung dan melahirkan seorang bayi laki-laki. Ketika perempuan itu melihat bahwa bayi itu elok, dia menyembunyikannya selama tiga bulan.","Perempuan itu kemudian mengandung, lalu melahirkan seorang anak laki-laki. Ketika ia melihat bahwa bayi itu elok, ia menyembunyikannya tiga bulan lamanya.",
Keluaran,2,3,Keluaran 2:3,وَلَمَّا لَمْ يُمْكِنْهَا أَنْ تُخَبِّئَهُ بَعْدُ، أَخَذَتْ لَهُ سَفَطًا مِنَ ٱلْبَرْدِيِّ وَطَلَتْهُ بِٱلْحُمَرِ وَٱلزِّفْتِ، وَوَضَعَتِ ٱلْوَلَدَ فِيهِ، وَوَضَعَتْهُ بَيْنَ ٱلْحَلْفَاءِ عَلَى حَافَةِ ٱلنَّهْرِ.,"Ketika dia tidak dapat menyembunyikannya lebih lama lagi, dia mengambil sebuah keranjang yang terbuat dari papirus dan melapisinya dengan ter cair, lalu memasukkan bayi itu ke dalamnya, dan dia meletakkannya di antara alang-alang di tepi sungai.","Akan tetapi, karena ia tidak dapat menyembunyikannya lebih lama lagi, diambilnya sebuah bakul dari daun papirus, dilapisinya dengan perekat kayu dan ter, lalu dibaringkannya anak itu di dalamnya. Kemudian, ia meletakkan bakul itu di tengah-tengah rumpun gelagah di tepi Sungai Nil.",
Keluaran,2,4,Keluaran 2:4,وَوَقَفَتْ أُخْتُهُ مِنْ بَعِيدٍ لِتَعْرِفَ مَاذَا يُفْعَلُ بِهِ.,Kakak perempuan bayi itu berdiri agak jauh untuk mengetahui yang akan terjadi kepadanya.,Kakak perempuan anak itu berdiri agak jauh dari situ untuk mengetahui apa yang akan terjadi dengan adiknya.,
Keluaran,2,5,Keluaran 2:5,فَنَزَلَتِ ٱبْنَةُ فِرْعَوْنَ إِلَى ٱلنَّهْرِ لِتَغْتَسِلَ، وَكَانَتْ جَوَارِيهَا مَاشِيَاتٍ عَلَى جَانِبِ ٱلنَّهْرِ. فَرَأَتِ ٱلسَّفَطَ بَيْنَ ٱلْحَلْفَاءِ، فَأَرْسَلَتْ أَمَتَهَا وَأَخَذَتْهُ.,"Lalu, datanglah putri Firaun untuk mandi di sungai sementara dayang-dayangnya menyusuri tepi sungai. Ketika dia melihat keranjang itu di antara alang-alang, dia menyuruh salah satu dayangnya untuk mengambilnya.","Kemudian, datanglah putri Firaun untuk mandi di Sungai Nil sementara dayang-dayangnya berjalan-jalan di tepi sungai. Tiba-tiba dilihatnya bakul yang ada di tengah-tengah rumpun gelagah itu, lalu disuruhnya hambanya yang perempuan pergi mengambilnya.",
